method,sample_id,psnr,lpips
DSS warp,session_004_scene_2_tool_3/frame_000224,13.275215148925781,0.6077218055725098
DSS warp,session_004_scene_2_tool_3/frame_000227,13.262887001037598,0.6071658134460449
DSS warp,session_004_scene_2_tool_3/frame_000230,13.194795608520508,0.6032873392105103
DSS warp,session_004_scene_2_tool_3/frame_000233,13.180092811584473,0.6127866506576538
DSS warp,session_004_scene_2_tool_3/frame_000236,13.158970832824707,0.6113141775131226
DSS warp,session_004_scene_2_tool_3/frame_000239,13.194253921508789,0.6191490888595581
DSS warp,session_004_scene_2_tool_3/frame_000242,13.231927871704102,0.6156185865402222
DSS warp,session_004_scene_2_tool_3/frame_000245,13.28518295288086,0.6153056621551514
DSS warp,session_004_scene_2_tool_3/frame_000248,13.296369552612305,0.6089468598365784
DSS warp,session_004_scene_2_tool_3/frame_000251,13.354665756225586,0.6102328300476074
DSS warp,session_004_scene_2_tool_3/frame_000254,13.421926498413086,0.6089304685592651
DSS warp,session_004_scene_2_tool_3/frame_000257,13.45362663269043,0.6122351884841919
DSS warp,session_004_scene_2_tool_3/frame_000260,13.476914405822754,0.6124422550201416
DSS warp,session_004_scene_2_tool_3/frame_000263,13.498583793640137,0.6084991693496704
DSS warp,session_004_scene_2_tool_3/frame_000266,13.437332153320312,0.6128722429275513
DSS warp,session_004_scene_2_tool_3/frame_000269,13.444091796875,0.6178517937660217
DSS warp,session_004_scene_2_tool_3/frame_000272,13.459511756896973,0.6219373345375061
DSS warp,session_004_scene_2_tool_3/frame_000275,13.469720840454102,0.6257740259170532
DSS warp,session_004_scene_2_tool_3/frame_000278,13.5361328125,0.629339873790741
DSS warp,session_004_scene_2_tool_3/frame_000281,13.590394020080566,0.6266711950302124
DSS warp,session_004_scene_2_tool_3/frame_000284,13.627472877502441,0.6240484714508057
DSS warp,session_004_scene_2_tool_3/frame_000287,13.70916748046875,0.6189581155776978
DSS warp,session_004_scene_2_tool_3/frame_000290,13.724601745605469,0.6220974922180176
DSS warp,session_004_scene_2_tool_3/frame_000293,13.653864860534668,0.6166048645973206
DSS warp,session_004_scene_2_tool_3/frame_000296,13.532343864440918,0.6115981936454773
DSS warp,session_004_scene_2_tool_3/frame_000299,13.441522598266602,0.6136803030967712
DSS warp,session_004_scene_2_tool_3/frame_000302,13.293780326843262,0.620518684387207
DSS warp,session_004_scene_2_tool_3/frame_000305,13.269878387451172,0.6162090301513672
DSS warp,session_004_scene_2_tool_3/frame_000308,13.234575271606445,0.6144344806671143
DSS warp,session_004_scene_2_tool_3/frame_000311,13.231451034545898,0.6129031777381897
DSS warp,session_004_scene_2_tool_3/frame_000314,13.239754676818848,0.6136491894721985
DSS warp,session_004_scene_2_tool_3/frame_000317,13.245638847351074,0.6082056164741516
DSS warp,session_004_scene_2_tool_3/frame_000320,13.243942260742188,0.6047608852386475
DSS warp,session_004_scene_2_tool_3/frame_000323,13.289691925048828,0.6050463914871216
DSS warp,session_004_scene_2_tool_3/frame_000326,13.33680534362793,0.6073587536811829
DSS warp,session_004_scene_2_tool_3/frame_000329,13.393782615661621,0.6025769114494324
DSS warp,session_004_scene_2_tool_3/frame_000332,13.438096046447754,0.5980644822120667
DSS warp,session_004_scene_2_tool_3/frame_000335,13.473872184753418,0.5929948091506958
DSS warp,session_004_scene_2_tool_3/frame_000338,13.486014366149902,0.5900603532791138
DSS warp,session_004_scene_2_tool_3/frame_000341,13.444729804992676,0.5897507071495056
DSS warp,session_004_scene_2_tool_3/frame_000344,13.39162826538086,0.591900110244751
DSS warp,session_004_scene_2_tool_3/frame_000347,13.46185302734375,0.5947748422622681
DSS warp,session_004_scene_2_tool_3/frame_000350,13.586320877075195,0.5897471308708191
DSS warp,session_004_scene_2_tool_3/frame_000353,13.649749755859375,0.5931539535522461
DSS warp,session_004_scene_2_tool_3/frame_000356,13.668484687805176,0.5980592966079712
DSS warp,session_004_scene_2_tool_3/frame_000359,13.680123329162598,0.6018736362457275
DSS warp,session_004_scene_2_tool_3/frame_000362,13.675518989562988,0.6050283312797546
DSS warp,session_004_scene_2_tool_3/frame_000365,13.648094177246094,0.6074724197387695
DSS warp,session_004_scene_2_tool_3/frame_000368,13.581351280212402,0.6096048355102539
DSS warp,session_004_scene_2_tool_3/frame_000371,13.542011260986328,0.6156319975852966
DSS warp,session_004_scene_2_tool_3/frame_000374,13.437509536743164,0.6193519830703735
DSS warp,session_004_scene_2_tool_3/frame_000377,13.376853942871094,0.6154558658599854
DSS warp,session_004_scene_2_tool_3/frame_000380,13.269816398620605,0.6160643696784973
DSS warp,session_004_scene_2_tool_3/frame_000383,13.250094413757324,0.616208553314209
DSS warp,session_004_scene_2_tool_3/frame_000386,13.237604141235352,0.6112766265869141
DSS warp,session_004_scene_2_tool_3/frame_000389,13.206165313720703,0.6030680537223816
DSS warp,session_004_scene_2_tool_3/frame_000392,13.16881275177002,0.6011555194854736
DSS warp,session_004_scene_2_tool_3/frame_000395,13.140372276306152,0.5998148322105408
DSS warp,session_004_scene_2_tool_3/frame_000398,13.100532531738281,0.6034812927246094
DSS warp,session_004_scene_2_tool_3/frame_000401,13.056388854980469,0.6050638556480408
DSS warp,session_004_scene_2_tool_3/frame_000404,12.99164867401123,0.6099687814712524
DSS warp,session_004_scene_2_tool_3/frame_000407,12.98474407196045,0.6068682670593262
DSS warp,session_004_scene_2_tool_3/frame_000410,13.003500938415527,0.609647810459137
DSS warp,session_004_scene_2_tool_3/frame_000413,13.107454299926758,0.6107841730117798
DSS warp,session_004_scene_2_tool_3/frame_000416,13.109246253967285,0.607286274433136
DSS warp,session_004_scene_2_tool_3/frame_000419,13.186153411865234,0.6069188714027405
DSS warp,session_004_scene_2_tool_3/frame_000422,13.22774887084961,0.6096369624137878
DSS warp,session_004_scene_2_tool_3/frame_000425,13.372051239013672,0.6058453321456909
DSS warp,session_004_scene_2_tool_3/frame_000428,13.517650604248047,0.6065400838851929
DSS warp,session_004_scene_2_tool_3/frame_000431,13.695536613464355,0.6025687456130981
DSS warp,session_004_scene_2_tool_3/frame_000434,13.829607009887695,0.6027513742446899
DSS warp,session_004_scene_2_tool_3/frame_000437,13.927976608276367,0.6024743318557739
DSS warp,session_004_scene_2_tool_3/frame_000440,13.990610122680664,0.6055133938789368
DSS warp,session_004_scene_2_tool_3/frame_000443,14.058876037597656,0.6000298261642456
DSS warp,session_004_scene_2_tool_3/frame_000446,14.124401092529297,0.5970020294189453
DSS warp,session_004_scene_2_tool_3/frame_000449,14.150436401367188,0.5932431817054749
DSS warp,session_004_scene_2_tool_3/frame_000452,14.141307830810547,0.5914698839187622
DSS warp,session_004_scene_2_tool_3/frame_000455,14.162759780883789,0.5908690094947815
DSS warp,session_004_scene_2_tool_3/frame_000458,14.169321060180664,0.5955461859703064
DSS warp,session_004_scene_2_tool_3/frame_000461,14.226913452148438,0.6009730696678162
DSS warp,session_004_scene_2_tool_3/frame_000464,14.085968017578125,0.6011568307876587
DSS warp,session_004_scene_2_tool_3/frame_000467,13.7123441696167,0.6070791482925415
DSS warp,session_004_scene_2_tool_3/frame_000470,13.369978904724121,0.6172547936439514
DSS warp,session_004_scene_2_tool_3/frame_000473,13.157585144042969,0.6234246492385864
DSS warp,session_004_scene_2_tool_3/frame_000476,13.047409057617188,0.6286385655403137
DSS warp,session_004_scene_2_tool_3/frame_000479,13.014126777648926,0.6356984972953796
DSS warp,session_004_scene_2_tool_3/frame_000482,12.959603309631348,0.63572758436203
DSS warp,session_004_scene_2_tool_3/frame_000485,12.90377426147461,0.6330580711364746
DSS warp,session_004_scene_2_tool_3/frame_000488,12.89480972290039,0.6347422003746033
DSS warp,session_004_scene_2_tool_3/frame_000491,12.906450271606445,0.6316779851913452
DSS warp,session_004_scene_2_tool_3/frame_000494,12.903548240661621,0.6271339058876038
DSS warp,session_004_scene_2_tool_3/frame_000497,13.052595138549805,0.6202669143676758
DSS warp,session_004_scene_2_tool_3/frame_000500,13.188897132873535,0.6171602010726929
DSS warp,session_004_scene_2_tool_3/frame_000503,13.299568176269531,0.611651599407196
DSS warp,session_004_scene_2_tool_3/frame_000506,13.39957332611084,0.6075988411903381
DSS warp,session_004_scene_2_tool_3/frame_000509,13.47485637664795,0.6037627458572388
DSS warp,session_004_scene_2_tool_3/frame_000512,13.478697776794434,0.6003289818763733
DSS warp,session_004_scene_2_tool_3/frame_000515,13.523188591003418,0.5970425605773926
DSS warp,session_004_scene_2_tool_3/frame_000518,13.567353248596191,0.5957399606704712
DSS warp,session_004_scene_2_tool_3/frame_000521,13.678559303283691,0.5946043133735657
DSS warp,session_004_scene_2_tool_3/frame_000524,13.779868125915527,0.5891923904418945
DSS warp,session_004_scene_2_tool_3/frame_000527,13.825093269348145,0.5851293206214905
DSS warp,session_004_scene_2_tool_3/frame_000530,13.83353042602539,0.5839322805404663
DSS warp,session_004_scene_2_tool_3/frame_000533,13.86351490020752,0.5849587321281433
DSS warp,session_004_scene_2_tool_3/frame_000536,13.813966751098633,0.5860381722450256
DSS warp,session_004_scene_2_tool_3/frame_000539,13.783885955810547,0.5767277479171753
DSS warp,session_004_scene_2_tool_3/frame_000542,13.760462760925293,0.5857440829277039
DSS warp,session_004_scene_2_tool_3/frame_000545,13.804821968078613,0.5830646753311157
DSS warp,session_004_scene_2_tool_3/frame_000548,13.810914993286133,0.5731329917907715
DSS warp,session_004_scene_2_tool_3/frame_000551,13.819587707519531,0.5769761204719543
DSS warp,session_004_scene_2_tool_3/frame_000554,13.80259895324707,0.5776845812797546
DSS warp,session_004_scene_2_tool_3/frame_000557,13.763827323913574,0.5759219527244568
DSS warp,session_004_scene_2_tool_3/frame_000560,13.725751876831055,0.5760911703109741
DSS warp,session_004_scene_2_tool_3/frame_000563,13.692317962646484,0.5777216553688049
DSS warp,session_004_scene_2_tool_3/frame_000566,13.66998291015625,0.5818654298782349
DSS warp,session_004_scene_2_tool_3/frame_000569,13.694462776184082,0.5857417583465576
DSS warp,session_004_scene_2_tool_3/frame_000572,13.686826705932617,0.5875359773635864
DSS warp,session_004_scene_2_tool_3/frame_000575,13.654520034790039,0.5931611061096191
DSS warp,session_004_scene_2_tool_3/frame_000578,13.581621170043945,0.5986989736557007
DSS warp,session_004_scene_2_tool_3/frame_000581,13.525639533996582,0.6072722673416138
DSS warp,session_004_scene_2_tool_3/frame_000584,13.456562042236328,0.6137665510177612
DSS warp,session_004_scene_2_tool_3/frame_000587,13.442827224731445,0.6149235963821411
DSS warp,session_004_scene_2_tool_3/frame_000590,13.421890258789062,0.6193816661834717
DSS warp,session_004_scene_2_tool_3/frame_000593,13.389242172241211,0.6255258917808533
DSS warp,session_004_scene_2_tool_3/frame_000596,13.415512084960938,0.6223961710929871
DSS warp,session_004_scene_6_tool_3/frame_000002,15.69127082824707,0.4780636131763458
DSS warp,session_004_scene_6_tool_3/frame_000005,15.680404663085938,0.474761962890625
DSS warp,session_004_scene_6_tool_3/frame_000008,15.635738372802734,0.47650066018104553
DSS warp,session_004_scene_6_tool_3/frame_000011,15.599116325378418,0.4835270643234253
DSS warp,session_004_scene_6_tool_3/frame_000014,15.591779708862305,0.487842857837677
DSS warp,session_004_scene_6_tool_3/frame_000017,15.581616401672363,0.4889478385448456
DSS warp,session_004_scene_6_tool_3/frame_000020,15.561002731323242,0.488981693983078
DSS warp,session_004_scene_6_tool_3/frame_000023,15.575498580932617,0.491342693567276
DSS warp,session_004_scene_6_tool_3/frame_000026,15.569124221801758,0.49441248178482056
DSS warp,session_004_scene_6_tool_3/frame_000029,15.561029434204102,0.4968489706516266
DSS warp,session_004_scene_6_tool_3/frame_000032,15.535536766052246,0.493550181388855
DSS warp,session_004_scene_6_tool_3/frame_000035,15.516582489013672,0.4966663718223572
DSS warp,session_004_scene_6_tool_3/frame_000038,15.534819602966309,0.493632972240448
DSS warp,session_004_scene_6_tool_3/frame_000041,15.508001327514648,0.4985056221485138
DSS warp,session_004_scene_6_tool_3/frame_000044,15.473490715026855,0.4940778315067291
DSS warp,session_004_scene_6_tool_3/frame_000047,15.47502326965332,0.49525535106658936
DSS warp,session_004_scene_6_tool_3/frame_000050,15.465048789978027,0.4955295920372009
DSS warp,session_004_scene_6_tool_3/frame_000053,15.47558307647705,0.4918993413448334
DSS warp,session_004_scene_6_tool_3/frame_000056,15.477027893066406,0.48909297585487366
DSS warp,session_004_scene_6_tool_3/frame_000059,15.488147735595703,0.49493980407714844
DSS warp,session_004_scene_6_tool_3/frame_000062,15.51915168762207,0.49435943365097046
DSS warp,session_004_scene_6_tool_3/frame_000065,15.51429557800293,0.4977242946624756
DSS warp,session_004_scene_6_tool_3/frame_000068,15.512781143188477,0.4910128712654114
DSS warp,session_004_scene_6_tool_3/frame_000071,15.52847671508789,0.49334073066711426
DSS warp,session_004_scene_6_tool_3/frame_000074,15.55488395690918,0.4965587854385376
DSS warp,session_004_scene_6_tool_3/frame_000077,15.525845527648926,0.49583369493484497
DSS warp,session_004_scene_6_tool_3/frame_000080,15.520252227783203,0.4889359474182129
DSS warp,session_004_scene_6_tool_3/frame_000083,15.54287052154541,0.47854024171829224
DSS warp,session_004_scene_6_tool_3/frame_000086,15.526920318603516,0.4887198507785797
DSS warp,session_004_scene_6_tool_3/frame_000089,15.516555786132812,0.4895455241203308
DSS warp,session_004_scene_6_tool_3/frame_000092,15.531844139099121,0.48439186811447144
